,src,des,total
172.24.102.0/24,0,5,5
173.244.209.0/24,0,4059,4059
173.244.217.0/24,0,173717,173717
180.163.251.0/24,0,17526,17526
182.254.21.0/24,0,6,6
182.254.42.0/24,0,24,24
182.254.99.0/24,0,6,6
183.3.224.0/24,0,18,18
183.3.234.0/24,0,12,12
183.60.62.0/24,0,12,12
183.63.130.0/24,0,513,513
192.168.0.0/24,0,15063,15063
192.168.1.0/24,0,44873,44873
192.168.10.0/24,0,2490,2490
192.168.102.0/24,0,2327,2327
192.168.128.0/24,0,875,875
192.168.137.0/24,0,2489,2489
192.168.157.0/24,0,2489,2489
192.168.253.0/24,0,2496,2496
192.168.72.0/24,0,5,5
192.3.1.0/24,0,50,50
20.10.80.0/24,0,21775,21775
203.205.129.0/24,0,6,6
209.95.56.0/24,0,173610,173610
210.52.217.0/24,0,170,170
221.130.200.0/24,0,5506,5506
221.181.72.0/24,0,11845,11845
221.228.204.0/24,0,35964,35964
222.126.229.0/24,0,7526,7526
42.236.9.0/24,0,19765,19765
42.236.98.0/24,0,5723,5723
58.250.11.0/24,0,12,12
58.251.100.0/24,0,15,15
61.151.183.0/24,0,21,21
61.151.224.0/24,0,24,24
8.8.8.0/24,0,599,599
