IP,label,0,1,2
10.14.96.246,1,-0.0036586116384098952,-6.079803478612813e-05,8.948451169476577e-05
10.12.1.56,1,-0.003223603948370164,0.0013674714051941897,0.001387345325668742
10.14.72.200,1,-0.003641468487446642,-8.124647501168832e-05,9.870217106527184e-05
10.12.1.230,1,-0.003196878992883733,-9.359826743192652e-05,-5.763087099106194e-06
10.13.132.10,1,-0.003502118660676057,-6.395680752470214e-05,5.6561897449136133e-05
10.14.71.6,1,-0.0036404615351356374,-4.070647649850777e-05,7.926307969502298e-05
10.12.1.2,1,-0.002951453321106719,-0.00018174369668470566,-4.3086760662026324e-06
10.13.132.49,1,-0.0035021804852597774,5.858470419148484e-06,3.556428929521461e-05
10.12.1.56,1,-0.0032245673067206083,0.000956725929528742,0.0010845857591761671
10.12.1.2,1,-0.0029912238730336643,-0.00017637708101002236,1.4012235743580067e-06
10.12.1.195,1,-0.0051604661674595565,0.00013189161814268689,0.0003218603589515983
10.12.1.195,1,0.6860407923696497,-0.0030980094706719737,-0.0028749120709536226
10.12.1.196,1,0.7085271120998177,-6.0546376357758366e-05,0.00027596729393661383
10.13.45.119,1,-0.0034406825991409305,-8.885685249197105e-05,5.8030088826338285e-05
10.14.32.141,1,-0.003613453275465383,-6.052825422780777e-05,7.536080499183295e-05
10.13.97.10,1,-0.0034772650369395783,-6.44325510762272e-05,6.717802389143409e-05
10.12.80.70,1,-0.005286524869314686,0.0001764396819221174,0.0003128014332556761
10.12.1.195,1,-0.005160459189620051,0.00013646210316867356,0.0003284061427642966
10.13.132.49,1,-0.0035021507200754826,4.576796043597432e-05,2.5350022365336508e-05
10.12.1.196,1,0.7085271120992245,-6.054805138564831e-05,0.0002759684331331389
10.13.78.141,1,-0.003464160613900084,-7.146412151628281e-05,5.094103233984496e-05
10.12.1.56,1,-0.003216264557250214,0.00561405863144714,-0.0038252073055081333
10.13.97.4,1,-0.0034770089005309993,-8.605914244965179e-05,6.257164494669588e-05
10.12.1.56,1,0.08083183320722928,-0.01032549903311883,-0.010528886957264682
10.13.132.22,1,-0.0035021520697528937,-6.412431184155996e-05,5.660478306903266e-05
10.14.72.56,1,-0.003641286688977234,-1.8787499648812154e-05,7.999042775501698e-05
10.12.1.195,1,-0.005158031455651285,0.0001293357746466404,0.00031813503105659305
10.12.1.56,1,-0.0031964740540090593,-8.059474874736704e-05,-1.426451592310942e-05
10.13.45.147,1,-0.0034407407826470907,-5.178314900629089e-05,4.0336666518575996e-05
10.13.97.4,1,-0.003477008289852494,-8.50561923895035e-05,6.23555621744287e-05
10.13.45.118,1,-0.0034406347421300403,-5.790917683892588e-05,8.13092722580605e-05
10.12.1.56,1,-0.003222025186438054,-7.730351055368901e-05,-1.044911685484729e-05
10.12.1.196,1,0.7085271120998177,-6.0546376357758366e-05,0.00027596729393661383
10.13.45.147,1,-0.0034407602787600855,-8.89249785112419e-05,5.80752694530789e-05
10.13.45.180,1,-0.0034408456103873276,-7.31419037836086e-05,4.769923120454067e-05
10.13.45.147,1,-0.003440754081065181,-7.311654582356793e-05,4.759043119056898e-05
10.12.1.56,1,-0.0032259736308763577,0.0011565514501443018,-0.0008435551596462352
10.12.1.56,1,-0.003226932453516266,-7.474568501094198e-05,-7.354241125507201e-06
10.12.20.54,1,-0.003182990663948032,0.014140180328515915,-0.009183005700104918
10.13.132.22,1,-0.003502151956697432,-6.400888146690491e-05,5.6504055663636243e-05
10.12.1.37,1,-0.0031644299786500745,-8.92191417717174e-05,-1.621900302680208e-05
10.13.132.50,1,-0.0035022300731230647,-6.437227563799138e-05,5.641428382792039e-05
10.12.1.196,1,0.7085271259980631,-2.0251272698465185e-05,0.0002486261258109221
10.12.1.195,1,0.7085271127188478,-5.97081567690751e-05,0.0002754008377219875
10.12.49.59,1,-0.0032544756707029473,0.0025788445634777214,0.00024471653930694634
10.12.80.70,1,-0.0052865248654897995,0.0001764499743474669,0.00031279443358180303
10.12.1.230,1,-0.0031967573940285955,-6.843533272061589e-05,-2.2032380299173827e-05
10.12.1.56,1,-0.0031150003292749738,0.019885639508072976,-0.01327211957788971
10.12.1.195,1,0.7085271127193417,-5.9706760911897246e-05,0.0002753998883921913
10.13.132.91,1,-0.0035021995018387573,0.00016671241693626428,-4.06141747548976e-05
10.12.1.31,1,-0.005406319256930936,0.0001619268660782127,0.0003511239925010989
10.13.45.147,1,-0.0034406820817860055,3.066750334039624e-05,1.8166706438681748e-05
10.12.1.56,1,-0.003196288712949827,0.0013528110312762665,0.0020650459564029717
10.12.60.72,1,-0.0032331674157191894,0.011120133843538561,-0.007174509907209557
10.12.1.56,1,-0.003225017619243849,0.0008585389964994442,0.0009653299850911408
10.14.96.246,1,-0.0036586116496396606,-6.08288335414363e-05,8.950545767009421e-05
10.12.45.212,1,-0.0032541157381515734,0.001639334651355953,0.0005514375333511389
10.13.78.131,1,-0.0034641323370845673,-7.157376449520099e-05,5.1915997761756056e-05
10.13.132.49,1,-0.003502227615286176,-6.464805974656041e-05,5.6481199028697186e-05
10.12.1.2,1,-0.0029904655035690028,-0.00017562583622276969,2.9864329541618237e-06
10.12.1.141,1,0.7105157065964312,0.0002182674865663993,0.0005663647346745155
10.12.60.83,1,-0.003253359634372273,0.0024062743504632738,0.0005373416464525202
10.14.72.87,1,-0.0036416772190700766,-8.558407926229403e-05,9.530800772761673e-05
10.12.1.56,1,-0.0031794181583394833,-8.333838970920881e-05,-1.6845732186307924e-05
10.13.132.90,1,-0.003502277337908121,2.367864579877961e-05,3.423092523574583e-05
10.13.45.147,1,-0.0034407601496292723,-8.879999695684953e-05,5.807322815946792e-05
10.14.32.141,1,-0.003613441760442062,-3.1757495992519816e-05,5.682008777220685e-05
10.13.129.65,1,-0.003500148224290891,-7.99645675576623e-05,6.67140655889087e-05
10.13.132.50,1,-0.003502236056835399,-7.998865580382041e-05,6.682134977336624e-05
10.12.80.70,1,-0.0052865248654897995,0.0001764499743474669,0.00031279443358180303
10.13.45.119,1,-0.003440676577017675,-7.395985153587988e-05,4.855211952495603e-05
10.13.132.50,1,-0.0035022361411421155,-8.00512735394766e-05,6.68940625011429e-05
10.12.1.195,1,-0.005160466182085346,0.00013185044971218145,0.00032188835789609546
10.13.45.137,1,-0.003440566651291913,0.0001502866432694633,-2.3215296582272623e-05
10.13.129.65,1,-0.0035001482180389985,-7.994745421457119e-05,6.670242696783054e-05
10.13.132.49,1,-0.003502233589564972,-8.023094784057706e-05,6.686153918972971e-05
10.13.132.10,1,-0.003501969890113721,3.103435747863786e-05,0.00014783706868064982
10.12.1.230,1,-0.0031861543799571643,-4.436865130067219e-05,-4.165892860463759e-05
10.13.45.118,1,-0.003440674421709315,-7.372145991324145e-05,4.755049884224567e-05
10.12.1.196,1,0.7201204761227903,0.0015955351780161703,0.0019914730067507173
10.12.1.56,1,-0.0031957501490952273,-8.080806928657785e-05,-1.405722419682313e-05
10.12.1.56,1,-0.003200074084904412,-7.639061293845464e-05,-7.273720952530044e-06
10.12.1.90,1,-0.005160501239025671,0.00023199574726954993,0.00029091269278616095
10.12.1.56,1,-0.003168082310528138,-8.007586336225656e-05,-1.0629464225493212e-05
10.13.45.118,1,-0.003440680272846226,-8.915913120422539e-05,5.780983697705342e-05
10.13.132.49,1,-0.0035018989614670113,0.0001199464869329047,0.00036408036917546323
10.12.1.230,1,0.7137415086658959,0.0006749514083371366,0.001040969174053311
10.12.1.230,1,0.7137409881875175,0.0006771463945270901,0.0010393475504808273
10.12.1.56,1,-0.003196489986639805,0.0012818328962445865,0.002013198897541801
10.12.1.56,1,-0.0031687662407460988,-8.444567619556564e-05,-1.7744042481935743e-05
10.13.132.91,1,-0.0035023498588704193,-8.008454071795148e-05,6.690047368574384e-05
10.13.132.91,1,-0.0035023497321472596,-7.990555262418035e-05,6.674861843340542e-05
10.12.1.56,1,-0.0032234552172489116,0.0013388132997906586,0.001448049258142941
10.12.1.2,1,-0.0029521825427651924,-0.00018163844028867688,-4.20580401255921e-06
10.12.1.230,1,-0.00316917202613445,1.902202781077216e-06,-7.718337211209026e-05
10.14.72.200,1,-0.00364146848866223,-8.124989712727295e-05,9.870449847088014e-05
10.12.1.56,1,-0.0031986633796806073,-7.733145150431925e-05,-8.769250887411373e-06
10.13.78.134,1,-0.003463791354050453,0.00010274416521982293,-4.418120985290741e-05
10.12.1.2,1,-0.002990816633521118,-0.00017672931213467163,1.262724880701784e-06
10.12.1.99,1,-0.005230195902264134,0.00100299056823555,-0.0002614181511711459
10.14.96.94,1,-0.0036584488628457748,-5.0205961721017904e-05,8.37679533116779e-05
10.12.87.53,1,-0.0032775405380559212,0.005824299095262848,-0.0037199230953941405
10.13.129.86,1,-0.0035002010991365454,-6.48455992390078e-05,5.620497006496297e-05
10.13.45.180,1,-0.003440851488373944,-8.865145340836144e-05,5.8007452168803846e-05
10.12.1.195,1,-0.005160466182085346,0.00013185044971218145,0.00032188835789609546
10.12.1.196,1,0.7085271130019786,-5.802286408808015e-05,0.00027426146084379507
