src_ip,dst_ip
10.12.1.230,10.12.45.112
10.12.1.230,10.12.68.61
10.12.1.230,10.12.68.48
10.12.1.230,10.12.48.31
10.12.1.230,10.12.87.35
10.12.1.230,10.12.87.90
10.12.1.230,10.12.44.42
10.12.1.230,10.12.86.46
10.12.1.230,10.12.44.114
10.12.1.230,10.12.45.35
10.12.1.230,10.12.20.48
10.12.1.230,10.12.28.48
10.12.1.230,10.12.44.141
10.12.1.230,10.12.2.11
10.12.1.230,10.12.40.12
10.12.1.230,10.12.56.33
10.12.1.230,10.12.84.57
10.12.1.230,10.12.10.100
10.12.1.230,10.12.68.57
10.12.1.230,10.12.86.42
10.12.1.230,10.12.2.82
10.12.1.230,10.12.44.153
10.12.1.230,10.12.60.62
10.12.1.230,10.12.45.92
10.12.1.230,10.12.90.51
10.12.1.230,10.12.45.85
10.12.1.230,10.12.44.128
10.12.1.230,10.12.44.139
10.12.1.230,10.12.44.154
10.12.1.230,10.12.60.55
10.12.1.230,10.12.2.16
10.12.1.230,10.12.88.31
10.12.1.230,10.12.44.116
10.12.1.230,10.12.2.50
10.12.1.230,10.12.84.40
10.12.1.230,10.12.44.79
10.12.1.230,10.12.44.56
10.12.1.230,10.12.45.106
10.12.1.230,10.12.84.34
10.12.1.230,10.12.88.48
10.12.1.230,10.12.69.31
10.12.1.230,10.12.60.44
10.12.1.230,10.12.44.33
10.12.1.230,10.12.52.52
10.12.1.230,10.12.20.33
10.12.1.230,10.12.2.1
10.12.1.230,10.12.88.242
10.12.1.230,10.12.44.119
10.12.1.230,10.12.85.2
10.12.1.230,10.12.20.41
10.12.1.230,10.12.68.49
10.12.1.230,10.12.2.104
10.12.1.230,10.12.20.32
10.12.1.230,10.12.45.119
10.12.1.230,10.12.81.102
10.12.1.230,10.12.44.103
10.12.1.230,10.12.45.90
10.12.1.230,10.12.44.68
10.12.1.230,10.12.68.76
10.12.1.230,10.12.88.54
10.12.1.230,10.12.44.106
10.12.1.230,10.12.44.96
10.12.1.230,10.12.44.137
10.12.1.230,10.12.52.68
10.12.1.230,10.12.24.36
10.12.1.230,10.12.88.78
10.12.1.230,10.12.45.109
10.12.1.230,10.12.49.51
10.12.1.230,10.12.2.53
10.12.1.230,10.12.44.145
10.12.1.230,10.12.2.81
10.12.1.230,10.12.44.66
10.12.1.230,10.12.68.59
10.12.1.230,10.12.84.37
10.12.1.230,10.12.44.91
10.12.1.230,10.12.52.65
10.12.1.230,10.12.68.46
10.12.1.230,10.12.45.93
10.12.1.230,10.12.87.45
10.12.1.230,10.12.60.98
10.12.1.230,10.12.56.32
10.12.1.230,10.12.41.40
10.12.1.230,10.12.45.117
10.12.1.230,10.12.84.38
10.12.1.230,10.12.45.115
10.12.1.230,10.12.2.73
10.12.1.230,10.12.40.4
10.12.1.230,10.12.40.9
10.12.1.230,10.12.2.102
10.12.1.230,10.12.40.24
10.12.1.230,10.12.40.16
10.12.1.230,10.12.60.43
10.12.1.230,10.12.90.32
10.12.1.230,10.12.45.101
10.12.1.230,10.12.68.52
10.12.1.230,10.12.87.85
10.12.1.230,10.12.45.51
10.12.1.230,10.12.44.98
10.12.1.230,10.12.48.33
10.12.1.230,10.12.77.4
10.12.1.230,10.12.87.82
10.12.1.230,10.12.60.47
10.12.1.230,10.12.68.42
10.12.1.230,10.12.44.44
10.12.1.230,10.12.40.10
10.12.1.230,10.12.8.33
10.12.1.230,10.12.45.86
10.12.1.230,10.12.44.94
10.12.1.230,10.12.45.39
10.12.1.230,10.12.45.52
10.12.1.230,10.12.44.54
10.12.1.230,10.12.40.6
10.12.1.230,10.12.2.52
10.12.1.230,10.12.44.76
10.12.1.230,10.12.60.85
10.12.1.230,10.12.2.74
10.12.1.230,10.12.45.122
10.12.1.230,10.12.81.100
10.12.1.230,10.12.2.51
10.12.1.230,10.12.45.33
10.12.1.230,10.12.60.38
10.12.1.230,10.12.68.36
10.12.1.230,10.12.44.92
10.12.1.230,10.12.41.33
10.12.1.230,10.12.44.169
10.12.1.230,10.12.85.25
10.12.1.230,10.12.85.25
10.12.1.230,10.12.86.31
10.12.1.230,10.12.60.90
10.12.1.230,10.12.40.13
10.12.1.230,10.12.2.31
10.12.1.230,10.12.85.4
10.12.1.230,10.12.2.70
10.12.1.230,10.12.28.39
10.12.1.230,10.12.2.42
10.12.1.230,10.12.85.13
10.12.1.230,10.12.88.63
10.12.1.230,10.12.45.78
10.12.1.230,10.12.2.12
10.12.1.230,10.12.45.98
10.12.1.230,10.12.45.99
10.12.1.230,10.12.44.58
10.12.1.230,10.12.68.38
10.12.1.230,10.12.44.144
10.12.1.230,10.12.86.41
10.12.1.230,10.12.44.117
10.12.1.230,10.12.41.250
10.12.1.230,10.12.2.13
10.12.1.230,10.12.44.87
10.12.1.230,10.12.60.39
10.12.1.230,10.12.85.16
10.12.1.230,10.12.2.30
10.12.1.230,10.12.68.44
10.12.1.230,10.12.2.9
10.12.1.230,10.12.20.40
10.12.1.230,10.12.45.66
10.12.1.230,10.12.60.37
10.12.1.230,10.12.2.77
10.12.1.230,10.12.45.94
10.12.1.230,10.12.44.90
10.12.1.230,10.12.60.53
