IP,label,0,1,2
10.12.49.67,0,-0.003261824267458943,-0.00013764276223320886,4.153214521295331e-05
10.12.48.159,0,-0.003260844672261073,-0.00013561148049196382,4.3675912772237186e-05
10.12.44.234,0,-0.003258627280222633,7.801363788147797e-05,-8.094020843424444e-05
10.12.90.55,0,-0.0032910013452044835,-0.00013388275373733282,4.4837915394283755e-05
10.12.1.56,0,-0.0031658434595353857,-0.00012172401711920989,5.88729095998829e-06
10.12.88.69,0,-0.003289522421263565,-0.00013378794249734475,4.55437334797093e-05
10.12.28.32,0,-0.0032467203536386837,8.634479230417733e-05,-0.00011285687823405717
10.12.44.77,0,-0.003258300943481377,-0.00013784732206436102,4.1958627566357923e-05
10.12.56.1,0,-0.00326670220736241,-0.00012177422687113154,3.252774760060085e-05
10.12.49.44,0,-0.003261559802702883,-8.125847189795378e-05,1.0185393678305438e-05
10.12.88.69,0,-0.003289522418832363,-0.00013378109568281491,4.553907691004939e-05
10.12.88.78,0,-0.003289645052309857,-0.0001340586656258372,4.4632727335784614e-05
10.12.44.35,0,-0.003257656216073172,-0.00013358688552538662,4.825582672850616e-05
10.12.42.33,0,-0.0032567592912264506,-0.00013837130247283628,4.081470924228113e-05
10.12.106.8,0,-0.0033021331854532726,-0.00013171991682555366,4.828858114433691e-05
10.12.1.56,0,-0.00316547065368757,-0.0001417548098873757,1.9537569900798698e-05
10.12.80.87,0,-0.003227102817629498,-0.00013787528180747905,3.6217857960640665e-05
10.12.90.48,0,-0.0032902975424639698,-3.6500670519717204e-06,2.2300202451294823e-05
10.12.1.56,0,-0.0031503710225582846,-8.706890202063077e-05,-2.0363766787313367e-05
10.12.80.87,0,-0.0032276475373292993,-0.00014294068824914004,3.6304443088748414e-05
10.12.88.53,0,-0.0032894780448729758,-0.0001337975697473276,4.553965281786131e-05
10.12.92.12,0,-0.003236147356759821,-0.0001339628754402855,5.0337128968586105e-05
10.12.41.204,0,-0.003256523835549125,-0.00013865179700960038,4.071061766015717e-05
10.12.44.178,0,-0.00322800362351442,-0.00014357494707890967,3.550147405180488e-05
10.12.1.37,0,-0.0031644554638139374,-0.00014996848611672651,3.045533997876561e-05
10.12.60.50,0,-0.0032695880521702875,-0.0001365780358908487,4.266726239957511e-05
10.12.49.15,0,-0.0032616800373515818,-0.0001376834653984758,4.1525286649911625e-05
10.12.49.43,0,-0.0032617577036511023,-0.00013767260887626316,4.153650209582488e-05
10.12.80.87,0,-0.003219892698652958,-0.00014240689592068189,3.6960876695566e-05
10.12.1.56,0,-0.0031673214523050596,-0.00012040816874903259,5.3463376514898166e-06
10.12.88.193,0,-0.0032891194659401437,-6.124182969545275e-07,0.0002563403327326357
10.12.41.34,0,-0.003256051962364556,-0.00013846675048896135,4.071024057309556e-05
10.12.68.37,0,-0.003274707956437568,-0.00013375096690450562,4.567447830963917e-05
10.12.60.36,0,-0.0032692853160536986,0.00024366286512156416,-0.0002014144671747093
10.12.1.230,0,-0.0031669496000080034,-0.00012819800467414616,1.0888958087323852e-05
10.12.1.56,0,-0.0030864604489501874,-9.387634217139744e-05,-2.6431793124255323e-05
10.12.88.216,0,-0.0032893743351416487,4.760554025892148e-05,-6.307380179429961e-05
10.12.60.72,0,-0.00322762208323888,-0.00012086053460372036,7.470394332061629e-05
10.12.60.91,0,-0.003227755153935536,-0.00011183750877512782,1.602780963894971e-05
10.12.87.47,0,-0.0032888362002476256,-0.00010799661064699028,3.01039626900405e-05
