IP,label,0,1,2
10.12.49.43,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.68.43,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.45.30,0,-0.3676173454151523,0.1602790272106438,0.004766308876347124
10.14.96.246,0,-0.2176870111736663,1.6451322752697786e-05,-0.01568339619717186
10.12.88.197,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.80.53,0,-0.3676169872844805,0.1602775985283343,0.004759515321118417
10.12.88.218,0,-0.36761749928364407,0.16027853213110654,0.004764200885630119
10.12.44.40,0,0.6806422718604305,0.9340631081868651,-0.48616853494485307
10.12.45.40,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.88.171,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.60.104,0,-0.01826979555837017,-0.15516550097300005,-0.03662490065395173
10.12.92.12,0,0.12124302355420115,-0.23807309256819045,-0.0485095288576181
10.12.60.34,0,0.03910250204532459,-0.1914637324332105,-0.04175119818026329
10.12.2.54,0,0.4986649418206498,-0.38082006216998554,-0.07186608181249513
10.12.45.113,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.88.212,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.44.63,0,0.4967965451239649,0.868831494080386,-0.39165519900649964
10.12.41.209,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.88.69,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.49.59,0,0.41737902939226573,0.7759142379164824,-0.09117819022591941
10.12.8.40,0,0.17621569114696142,-0.2659790216298659,-0.052671900375528984
10.12.88.79,0,-0.29818067789434344,0.07962161479256535,-0.005401740700127461
10.12.92.22,0,-0.30995781267874495,0.09239855965139483,-0.0037751687517678717
10.12.88.194,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.88.78,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.41.215,0,0.24364813341984853,0.38079693854443813,-0.033141104226795164
10.12.42.44,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.41.213,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.88.212,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.49.47,0,-0.24912217559627364,0.029636475777388815,-0.011826535411716663
10.12.88.43,0,-0.18287892715357218,-0.030881542458552028,-0.01974859413010878
10.12.1.31,0,-0.3676152680642881,0.16028091327421673,0.004773018930718881
10.12.49.52,0,0.3543673992106498,0.7248463698364016,-0.08918502338281488
10.12.90.12,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.44.165,0,0.4967965451239649,0.868831494080386,-0.39165519900649964
10.12.88.214,0,-0.11605732448270685,-0.08531572078438125,-0.027028795667153667
10.12.42.38,0,-0.0034197613878351693,-0.16487251036931244,-0.0379850905953969
10.12.80.72,0,0.17621653217334488,-0.2659827308120715,-0.05267993979578688
10.12.60.71,0,-0.11659955546627811,-0.08489755157029046,-0.026972259502410192
10.12.87.50,0,-0.11605732448270685,-0.08531572078438125,-0.027028795667153667
10.12.48.42,0,-0.2411704349422635,0.021979313129009314,-0.012820026844429516
10.12.88.209,0,-0.17312740217802663,-0.03920822322620822,-0.02085323506394661
10.12.44.108,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.60.88,0,0.17621611453741604,-0.265981948922954,-0.05267730606490586
10.12.44.94,0,0.6324583327277493,0.8860237885559138,-0.43282250132897
10.12.88.214,0,-0.2581330184139879,0.03845519640652439,-0.010684946947418575
10.12.45.43,0,-0.07648182774370697,-0.11488124516653492,-0.031051939475644955
10.12.44.130,0,-0.36761713665110185,0.1602777215664228,0.004760205347378921
10.12.44.77,0,0.17621611453741604,-0.265981948922954,-0.05267730606490586
10.12.48.52,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.88.197,0,0.08792588467855988,0.0013682412918535611,0.29589800288742485
10.12.60.69,0,-0.3676130740654632,0.1602821629213864,0.004776740726978032
10.14.96.94,0,-0.24568074944089185,0.026308364835608493,-0.012257916098761664
10.14.96.246,0,-0.2176870111736663,1.6451322752697786e-05,-0.01568339619717186
10.12.92.12,0,0.1299655413791054,-0.24267243543301492,-0.049190080539773993
10.12.10.59,0,0.5076667226755232,-0.3828443062018609,-0.07228192708025025
10.12.49.61,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.87.49,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.88.206,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.41.214,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.86.49,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.80.18,0,-0.367617496251241,0.16027856548195563,0.004764349383663354
10.12.48.46,0,-0.1828789941922803,-0.030881166684037873,-0.01974638374293739
10.12.32.37,0,0.18300931690112318,-0.2692560346857509,-0.05317835209036273
10.12.20.49,0,-0.3676172900196795,0.16027912522335264,0.004766704121779084
10.12.88.172,0,-0.18287865862259842,-0.030880626651478043,-0.01974438687877641
10.12.41.212,0,0.03902274448603765,0.2562423831675945,0.09373432174670182
10.12.49.42,0,0.2515932324035918,0.6173057706246706,0.11532125008485038
10.12.107.120,0,0.3048593381398134,-0.32164314339880534,-0.06139924423251821
10.12.44.97,0,-0.36761712914111766,0.160277714707083,0.004760167602285473
10.12.87.62,0,0.18158346007900072,-0.2685721249571572,-0.05307404282117587
10.12.88.186,0,-0.11605732448270685,-0.08531572078438125,-0.027028795667153667
10.12.2.82,0,-0.003865948766731398,-0.1645813557390262,-0.03793670238484493
