,date,unknow,malware,benign,all
0,2011,277,84390,134783,219450
1,2012,3433,266840,298167,568440
2,2013,11769,280396,487752,779917
3,2014,39843,514480,1233217,1787540
4,2015,24583,234614,613621,872818
5,2016,77391,327663,1063433,1468487
6,2017,48469,117349,239004,404822
7,2018,99407,135598,257045,492050
8,2019,79326,45474,96709,221509
9,2020,1,0,0,1
